y,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
2,56,3,0,0,2,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,57,7,0,3,3,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,37,7,0,3,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,40,0,0,1,2,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,56,7,0,3,2,2,1,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,45,7,0,2,3,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,59,0,0,5,2,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,41,1,0,7,3,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,24,9,2,5,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,25,7,2,3,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,41,1,0,7,3,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,25,7,2,3,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,29,1,2,3,2,2,1,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,57,3,1,0,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,35,1,0,1,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,54,5,0,2,3,1,1,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,35,1,0,1,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,46,1,0,1,3,1,1,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,50,1,0,2,2,1,1,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,39,4,2,2,3,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,30,10,0,3,2,2,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,55,1,0,0,3,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
2,55,5,2,3,2,1,2,1,5,0,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0
